date,exact value,value
30/06/2012,0.162533905,0.163
1/07/2012,0.172090104,0.172
2/07/2012,0.188937323,0.189
3/07/2012,0.213101563,0.213
5/07/2012,0.18653238,0.187
6/07/2012,0.189061727,0.189
7/07/2012,0.192379167,0.192
8/07/2012,0.209971432,0.21
9/07/2012,0.210963021,0.211
10/07/2012,0.191297396,0.191
11/07/2012,0.197301884,0.197
12/07/2012,0.192203646,0.192
13/07/2012,0.175403125,0.175
14/07/2012,0.192697917,0.193
15/07/2012,0.19261875,0.193
16/07/2012,0.202304167,0.202
17/07/2012,0.1797,0.18
18/07/2012,0.186745313,0.187
19/07/2012,0.183834896,0.184
20/07/2012,0.180734896,0.181
21/07/2012,0.171930208,0.172
22/07/2012,0.186916667,0.187
23/07/2012,0.165986979,0.166
24/07/2012,0.164058333,0.164
25/07/2012,0.179168229,0.179
26/07/2012,0.165271354,0.165
27/07/2012,0.181206771,0.181
28/07/2012,0.170032292,0.17
29/07/2012,0.192382292,0.192
30/07/2012,0.180636979,0.181
31/07/2012,0.178055729,0.178
1/08/2012,0.191073958,0.191
2/08/2012,0.165842708,0.166
3/08/2012,0.160990248,0.161
4/08/2012,0.168697396,0.169
5/08/2012,0.178815625,0.179
6/08/2012,0.180254687,0.18
7/08/2012,0.174065104,0.174
8/08/2012,0.170534896,0.171
9/08/2012,0.167351563,0.167
10/08/2012,0.163953125,0.164
11/08/2012,0.163439063,0.163
12/08/2012,0.168485938,0.168
13/08/2012,0.176039063,0.176
14/08/2012,0.15485768,0.155
15/08/2012,0.182314583,0.182
16/08/2012,0.171359375,0.171
17/08/2012,0.160632291,0.161
18/08/2012,0.169224479,0.169
19/08/2012,0.173755729,0.174
20/08/2012,0.169863542,0.17
21/08/2012,0.174216777,0.174
22/08/2012,0.162668229,0.163
23/08/2012,0.167063021,0.167
24/08/2012,0.166041146,0.166
25/08/2012,0.1633875,0.163
26/08/2012,0.15768125,0.158
27/08/2012,0.179785417,0.18
28/08/2012,0.170076042,0.17
29/08/2012,0.178908134,0.179
30/08/2012,0.179682813,0.18
31/08/2012,0.163633854,0.164
1/09/2012,0.170169271,0.17
2/09/2012,0.198360417,0.198
3/09/2012,0.168299479,0.168
4/09/2012,0.159110938,0.159
5/09/2012,0.164766667,0.165
6/09/2012,0.153779167,0.154
7/09/2012,0.157275,0.157
8/09/2012,0.163054687,0.163
9/09/2012,0.172166667,0.172
10/09/2012,0.167494271,0.167
11/09/2012,0.154839683,0.155
12/09/2012,0.171742708,0.172
13/09/2012,0.18951875,0.19
14/09/2012,0.182615104,0.183
15/09/2012,0.176272396,0.176
16/09/2012,0.206015625,0.206
17/09/2012,0.193388542,0.193
18/09/2012,0.189400521,0.189
19/09/2012,0.197828646,0.198
20/09/2012,0.192048437,0.192
21/09/2012,0.180692708,0.181
22/09/2012,0.193710938,0.194
23/09/2012,0.234086979,0.234
24/09/2012,0.229252083,0.229
25/09/2012,0.200646354,0.201
26/09/2012,0.220065104,0.22
27/09/2012,0.203009375,0.203
28/09/2012,0.196508333,0.197
29/09/2012,0.189702083,0.19
30/09/2012,0.227932813,0.228
1/10/2012,0.210736979,0.211
2/10/2012,0.211148438,0.211
3/10/2012,0.201966523,0.202
4/10/2012,0.204501042,0.205
5/10/2012,0.203096875,0.203
6/10/2012,0.206228125,0.206
7/10/2012,0.215031062,0.215
8/10/2012,0.203330729,0.203
9/10/2012,0.204374479,0.204
10/10/2012,0.204914062,0.205
11/10/2012,0.217247396,0.217
12/10/2012,0.2005875,0.201
13/10/2012,0.203826042,0.204
14/10/2012,0.220033333,0.22
15/10/2012,0.230103125,0.23
16/10/2012,0.217405929,0.217
17/10/2012,0.215843273,0.216
18/10/2012,0.210135937,0.21
19/10/2012,0.204936458,0.205
20/10/2012,0.207080729,0.207
21/10/2012,0.26039323,0.26
22/10/2012,0.238704688,0.239
23/10/2012,0.218386979,0.218
24/10/2012,0.220908333,0.221
25/10/2012,0.206538021,0.207
26/10/2012,0.232733333,0.233
27/10/2012,0.267433854,0.267
28/10/2012,0.265676562,0.266
29/10/2012,0.25444375,0.254
30/10/2012,0.213440625,0.213
31/10/2012,0.215810749,0.216
1/11/2012,0.226461459,0.226
2/11/2012,0.226305219,0.226
3/11/2012,0.249960417,0.25
4/11/2012,0.262572916,0.263
5/11/2012,0.261198959,0.261
6/11/2012,0.253114584,0.253
